gen,nevals,avg,std,min,max,diversity,improvement_rate,stagnation,sr_cx,sr_mut,cx_applied,mut_applied,op_sel,op_cx,op_mut,cxpb,mutpb,switch_interval,since_last_switch,switch_effective,op_sel_param,op_cx_param,op_mut_param
0,60,0.858859105728924,0.09694209541734376,0.6190827511256016,0.9533339543549136,0.16709981167608284,,0,,,0,0,tournament3,two_point,flip_bit,0.6,0.2,20,0,,,,
1,42,0.9177102365057184,0.04820793191929972,0.6455072193758734,0.9572948299953423,0.2154237288135593,0.06852245075383666,0,0.13157894736842105,0.0,38,4,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
2,43,0.9342406562128035,0.026879452284689742,0.8022704548983077,0.9713609687936656,0.2366854990583804,0.018012678784129623,0,0.10526315789473684,0.2,38,5,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
3,47,0.9495020855974744,0.012768162751495242,0.9165073746312684,0.9713609687936656,0.26625235404896425,0.016335651080030298,1,0.2894736842105263,0.3333333333333333,38,9,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
4,44,0.9577321844434095,0.010085773385356238,0.9065700978108988,0.9713609687936656,0.2584934086629002,0.008667804916675114,2,0.2,0.25,40,4,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
5,37,0.9645413859131605,0.005612460143581014,0.9380121099208197,0.9714075454122031,0.23374764595103578,0.007109713529892762,0,0.11764705882352941,0.0,34,3,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
6,38,0.9666629353620037,0.003766037953242881,0.9510060549604099,0.9739885111007607,0.18378531073446328,0.002199542165663109,0,0.07894736842105263,,38,0,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
7,45,0.9670834808259586,0.005784623260175935,0.9334466697717746,0.9746396522279149,0.12969868173258003,0.00043504871095268664,0,0.075,0.4,40,5,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
8,40,0.9686299487657196,0.0027415603361717594,0.9601679863375251,0.9746396522279149,0.10789077212806025,0.0015991049070967407,1,0.14705882352941177,0.6666666666666666,34,6,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
9,47,0.968844392692646,0.004177527863117885,0.9447995652848935,0.9746396522279149,0.0927683615819209,0.00022138890832317705,2,0.10869565217391304,0.0,46,1,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
10,37,0.9702423122703514,0.0030664057265455476,0.9608501785437045,0.9752907933550691,0.09981167608286252,0.0014428731675065613,0,0.1,0.14285714285714285,30,7,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
11,45,0.9705104538632716,0.0026995894763702207,0.9648110541841328,0.9760040366402734,0.07580037664783427,0.0002763655939646308,0,0.1,0.0,40,5,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
12,46,0.9693752419396573,0.0039370840487587405,0.954889302903276,0.9760040366402734,0.09001883239171375,-0.0011697060233565016,1,0.0,0.16666666666666666,40,6,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
13,43,0.9692153444082182,0.008804287142633746,0.905704393727682,0.9760040366402734,0.08077212806026365,-0.00016494905638309343,2,0.075,0.0,40,3,tournament3,two_point,flip_bit,0.6,0.2,20,0,,"{""tournsize"": 3}",{},"{""indpb"": 0.03333333333333333}"
